Sigma;Epsilon
6.657691;-0.000575005
11.54;-0.000575005
23.96769;0.09039028
49.26691;0.15732032
98.97767;0.2044066
198.843;0.24664548
399.9053;0.28061764
799.2507;0.310105
400.793;0.30968036
198.843;0.3071326
100.7531;0.30479716
50.59845;0.30161244
23.96769;0.2982154
11.98384;0.29545532
5.326153;0.2937568
12.87154;0.29354452
23.96769;0.29333216
49.26691;0.2937568
98.97767;0.2967292
100.7531;0.299956136
200.1746;0.301062969
400.3492;0.30404837
599.1553;0.306156525
799.2507;0.307851433
999.5991;0.311670652
1199.128;0.31677624
1355.552;0.321484208
799.6944;0.321696516
399.9053;0.319785676
200.6184;0.317874856
100.7531;0.314902464
50.59845;0.311293108
24.41153;0.307471451
12.87154;0.304711365
6.657691;0.302375912
